userId,problemId,score
user1,207,1
user1,214,4
user1,233,3
user1,270,3
user1,331,4
user1,422,1
user1,69,1
user1,238,1
user1,455,3
user1,246,2
user1,97,2
user1,14,4
user1,3,0
user1,70,2
user1,221,2
user1,462,3
user1,319,0
user1,278,1
user1,345,3
user1,46,2
user1,347,2
user1,294,0
user1,373,2
user1,110,0
user1,471,2
user2,207,2
user2,214,1
user2,233,2
user2,270,3
user2,331,1
user2,422,2
user2,69,0
user2,238,3
user2,455,1
user2,246,3
user2,97,2
user2,14,1
user2,3,1
user2,70,2
user2,221,3
user2,462,2
user2,319,0
user2,278,2
user2,345,1
user2,46,1
user2,347,2
user2,294,1
user2,373,1
user2,110,2
user2,471,0
user2,22,3
user2,209,3
user2,78,3
user2,115,2
user2,326,2
user2,237,3
user2,334,2
user2,143,0
user2,150,2
user2,361,2
user2,302,3
user2,459,2
user2,358,3
user2,5,2
user2,366,2
user2,7,1
user2,374,1
user2,33,1
user2,430,0
user2,131,2
user2,102,2
user2,349,2
user2,398,2
user2,255,4
user2,406,2
user2,377,2
user2,174,3
user2,283,2
user2,230,3
user2,21,4
user2,142,1
user2,119,0
user2,438,2
user2,145,1
user2,206,1
user2,147,3
user2,454,2
user2,173,0
user2,270,1
user2,271,2
user2,182,2
user2,9,1
user2,238,2
user2,395,1
user2,6,2
user2,37,4
user2,14,2
user2,423,4
user2,310,2
user2,161,3
user2,462,3
user2,259,2
user2,38,1
user2,285,1
user2,46,1
user2,287,2
user2,54,1
user2,313,2
user2,110,1
user2,411,2
user2,262,2
user2,149,1
user2,78,1
user2,55,2
user2,86,3
user2,177,2
user2,334,3
user2,83,3
user2,390,3
user2,301,2
user2,302,3
user2,399,3
user2,118,3
user2,425,2
user2,366,2
user2,427,2
user2,134,1
user2,453,2
user2,430,1
user2,71,2
user2,342,2
user2,289,2
user2,398,3
user2,195,3
user2,166,3
user2,317,3
user2,174,3
user2,223,3
user2,470,1
user2,441,3
user2,142,2
user2,59,3
user2,198,3
user2,85,2
user2,206,3
user2,87,2
user2,214,0
user2,113,1
user2,270,2
user2,211,1
user2,422,3
user2,429,1
user2,238,3
user2,335,3
user2,246,1
user2,457,2
user2,14,1
user2,363,3
user2,70,2
user2,101,1
user2,462,2
user2,199,1
user2,278,3
user2,225,2
user2,46,2
user2,227,4
user2,294,4
user2,253,1
user2,110,2
user2,351,3
user2,22,2
user2,89,3
user2,78,2
user3,207,2
user3,214,4
user3,233,3
user3,270,1
user3,331,2
user3,422,3
user3,69,3
user3,238,3
user3,455,2
user3,246,1
user3,97,3
user3,14,3
user3,3,2
user3,70,1
user3,221,2
user3,462,3
user3,319,3
user3,278,2
user3,345,3
user3,46,1
user3,347,1
user3,294,3
user3,373,1
user3,110,3
user3,471,0
user3,22,1
user3,209,3
user3,78,0
user3,115,2
user3,326,1
user3,237,2
user3,334,3
user3,143,2
user3,150,1
user3,361,2
user3,302,0
user3,459,3
user3,358,3
user3,5,1
user3,366,2
user3,7,1
user3,374,1
user3,33,2
user3,430,3
user3,131,4
user3,102,2
user3,349,1
user3,398,2
user3,255,1
user3,406,3
user3,377,2
user3,174,1
user3,283,0
user3,230,1
user3,21,3
user3,142,1
user3,119,4
user3,438,2
user3,145,2
user3,206,2
user3,147,2
user3,454,1
user3,173,2
user3,270,2
user3,271,4
user3,182,1
user3,9,0
user3,238,3
user3,395,1
user3,6,3
user3,37,3
user3,14,1
user3,423,0
user3,310,2
user3,161,1
user3,462,0
user3,259,1
user3,38,2
user3,285,3
user3,46,2
user3,287,1
user3,54,3
user3,313,1
user3,110,3
user3,411,2
user3,262,3
user3,149,2
user3,78,2
user3,55,3
user3,86,1
user3,177,1
user3,334,2
user3,83,2
user3,390,4
user3,301,3
user3,302,0
user3,399,2
user3,118,2
user3,425,1
user3,366,0
user3,427,0
user3,134,3
user3,453,3
user3,430,0
user3,71,1
user3,342,4
user3,289,2
user3,398,2
user3,195,2
user3,166,1
user3,317,2
user3,174,2
user3,223,2
user3,470,1
user3,441,2
user3,142,3
user3,59,1
user3,198,3
user3,85,3
user3,206,2
user3,87,2
user3,214,3
user3,113,1
user3,270,2
user3,211,1
user3,422,3
user3,429,2
user3,238,3
user3,335,2
user3,246,3
user3,457,3
user3,14,3
user3,363,2
user3,70,2
user3,101,2
user3,462,0
user3,199,1
user3,278,2
user3,225,1
user3,46,2
user4,207,0
user4,214,1
user4,233,1
user4,270,3
user4,331,0
user4,422,4
user4,69,2
user4,238,2
user4,455,2
user4,246,2
user4,97,2
user4,14,4
user4,3,3
user4,70,0
user4,221,3
user4,462,1
user4,319,1
user4,278,2
user4,345,3
user4,46,3
user4,347,1
user4,294,2
user4,373,3
user5,207,0
user5,214,1
user5,233,4
user5,270,1
user5,331,2
user5,422,3
user5,69,3
user5,238,1
user5,455,2
user5,246,4
user5,97,2
user5,14,3
user5,3,4
user5,70,1
user5,221,1
user5,462,3
user5,319,0
user5,278,2
user5,345,1
user5,46,4
user5,347,4
user5,294,0
user5,373,3
user5,110,2
user5,471,2
user5,22,3
user5,209,1
user5,78,2
user5,115,2
user5,326,1
user5,237,1
user5,334,2
user5,143,2
user5,150,4
user5,361,0
user5,302,2
user5,459,3
user5,358,3
user5,5,1
user5,366,0
user5,7,2
user5,374,2
user5,33,2
user5,430,2
user5,131,1
user5,102,1
user5,349,3
user5,398,1
user5,255,2
user5,406,1
user5,377,0
user5,174,2
user5,283,3
user5,230,1
user5,21,2
user5,142,1
user5,119,3
user5,438,1
user5,145,1
user5,206,2
user5,147,1
user5,454,3
user5,173,2
user5,270,1
user5,271,3
user5,182,2
user5,9,3
user5,238,4
user5,395,2
user5,6,2
user5,37,1
user5,14,1
user5,423,2
user5,310,4
user5,161,3
user5,462,3
user5,259,2
user5,38,2
user5,285,1
user5,46,1
user5,287,1
user5,54,3
user5,313,2
user5,110,3
user5,411,2
user5,262,3
user6,207,0
user6,214,3
user6,233,3
user6,270,3
user6,331,1
user6,422,2
user6,69,2
user6,238,2
user6,455,1
user6,246,1
user6,97,2
user6,14,1
user6,3,3
user6,70,2
user6,221,2
user6,462,2
user6,319,2
user6,278,1
user6,345,2
user6,46,4
user6,347,2
user6,294,1
user6,373,1
user6,110,2
user6,471,2
user6,22,2
user6,209,1
user6,78,3
user6,115,1
user6,326,2
user6,237,1
user6,334,4
user6,143,4
user6,150,3
user6,361,2
user6,302,3
user6,459,2
user6,358,1
user6,5,0
user6,366,0
user6,7,2
user6,374,4
user6,33,2
user6,430,0
user6,131,2
user6,102,3
user6,349,3
user6,398,2
user6,255,2
user6,406,3
user6,377,2
user6,174,2
user6,283,2
user6,230,1
user6,21,2
user6,142,2
user6,119,1
user6,438,3
user6,145,2
user6,206,2
user6,147,2
user6,454,2
user6,173,2
user6,270,0
user6,271,2
user6,182,2
user6,9,3
user6,238,0
user6,395,3
user6,6,3
user6,37,2
user6,14,1
user6,423,3
user6,310,1
user6,161,3
user6,462,2
user6,259,0
user6,38,4
user6,285,1
user6,46,2
user6,287,2
user6,54,1
user6,313,2
user6,110,1
user6,411,2
user6,262,2
user6,149,1
user6,78,3
user6,55,2
user6,86,3
user6,177,2
user6,334,3
user6,83,2
user6,390,3
user6,301,2
user6,302,2
user6,399,2
user6,118,2
user6,425,2
user6,366,4
user6,427,2
user6,134,3
user6,453,3
user6,430,2
user6,71,2
user6,342,1
user6,289,3
user6,398,2
user6,195,1
user6,166,3
user7,207,2
user7,214,3
user7,233,2
user7,270,2
user7,331,3
user7,422,3
user7,69,3
user7,238,2
user7,455,1
user7,246,1
user7,97,2
user7,14,1
user7,3,2
user7,70,1
user7,221,1
user7,462,2
user7,319,3
user7,278,2
user7,345,2
user7,46,3
user7,347,3
user7,294,0
user7,373,2
user7,110,2
user7,471,2
user7,22,2
user7,209,3
user7,78,2
user7,115,2
user7,326,3
user7,237,2
user7,334,3
user7,143,3
user7,150,3
user7,361,1
user7,302,4
user7,459,2
user7,358,3
user7,5,1
user7,366,3
user7,7,2
user7,374,3
user7,33,3
user7,430,1
user7,131,4
user7,102,1
user7,349,0
user7,398,1
user7,255,1
user7,406,3
user7,377,0
user7,174,1
user7,283,4
user7,230,2
user7,21,3
user7,142,1
user7,119,3
user7,438,2
user7,145,0
user7,206,2
user7,147,0
user7,454,2
user7,173,0
user7,270,2
user7,271,4
user7,182,2
user7,9,1
user7,238,1
user7,395,1
user7,6,2
user7,37,3
user7,14,3
user7,423,3
user7,310,2
user7,161,2
user7,462,2
user7,259,4
user7,38,2
user7,285,1
user7,46,1
user7,287,3
user7,54,0
user7,313,2
user7,110,2
user7,411,1
user7,262,3
user7,149,3
user7,78,1
user7,55,2
user7,86,1
user8,207,1
user8,214,2
user8,233,1
user8,270,4
user8,331,2
user8,422,2
user8,69,2
user8,238,2
user8,455,2
user8,246,1
user8,97,2
user8,14,1
user8,3,0
user8,70,3
user8,221,2
user8,462,4
user8,319,0
user8,278,3
user8,345,1
user8,46,2
user8,347,2
user8,294,1
user8,373,1
user8,110,3
user8,471,2
user8,22,1
user8,209,0
user8,78,3
user8,115,2
user8,326,1
user8,237,0
user8,334,2
user8,143,2
user8,150,2
user8,361,4
user8,302,2
user8,459,3
user8,358,3
user8,5,4
user8,366,2
user8,7,3
user8,374,3
user8,33,1
user8,430,1
user8,131,1
user8,102,3
user8,349,2
user8,398,2
user8,255,1
user8,406,1
user8,377,3
user8,174,3
user8,283,1
user8,230,2
user8,21,2
user8,142,1
user8,119,3
user8,438,2
user8,145,4
user8,206,1
user8,147,2
user8,454,2
user8,173,2
user8,270,1
user8,271,0
user8,182,2
user8,9,3
user8,238,2
user8,395,2
user8,6,0
user8,37,2
user8,14,2
user8,423,4
user8,310,2
user8,161,1
user8,462,1
user9,207,2
user9,214,2
user9,233,2
user9,270,1
user9,331,1
user9,422,3
user9,69,3
user9,238,3
user9,455,3
user9,246,3
user9,97,2
user9,14,3
user9,3,1
user9,70,1
user9,221,4
user9,462,1
user9,319,1
user9,278,2
user9,345,2
user9,46,2
user9,347,0
user9,294,2
